id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,user_followers_count,friends_count,is_quote_status,favorited,retweeted,is_retweet
1.43211556839671e+18,Sun Aug 29 22:58:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Noti_Atlantico: 🔴#ALCIERRE | Usuario capta enfrentamiento entre #PMT y personas, en Pradera #Zona10, mientras los tres hombres intentan…",RT Noti_Atlantico 🔴 ALCIERRE Usuario capta enfrentamiento PMT personas Pradera Zona10 mientras tres hombres intentan…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,34,guille_espana,,"ALCIERRE,PMT,Zona10",Noti_Atlantico,,,,,,212,860,0,0,0,1
1.432110923947422e+18,Sun Aug 29 22:40:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amilcarmontejo: Solicitud, servicio social. Gracias por compartirlo.

#PMTGuatemalaEnTodo #TransitoGT #TraficoGT @mariaocalle https://t…",RT amilcarmontejo Solicitud servicio social Gracias compartirlo PMTGuatemalaEnTodo TransitoGT TraficoGT mariaocalle https //t…,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333333333,0.06666666666666667,es,0,60,joaquingarzaro,,"PMTGuatemalaEnTodo,TransitoGT,TraficoGT","amilcarmontejo,mariaocalle",,,,,,255,344,0,0,0,1
1.432110748461945e+18,Sun Aug 29 22:39:44 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AlertaGt502: Actualización de reporte de Caída de Rayos en Guatemala

Domingo 29 de agosto
16hrs

#ClimaGt #TráficoGt #TránsitoGt https…",RT AlertaGt502 Actualización reporte Caída Rayos Guatemala Domingo 29 agosto 16hrs ClimaGt TráficoGt TránsitoGt https…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,1,arturocampos61,,"ClimaGt,TráficoGt,TránsitoGt",AlertaGt502,Guatemala,,,,,1144,2694,0,0,0,1
1.432102664402309e+18,Sun Aug 29 22:07:37 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#TráficoGT @COVIAL_CIV retira derrumbe ocurrido en el desvío a Santa Catarina Ixtahuacán a Nahuala, en el Km. 155.3. https://t.co/ThFLqQu53r",TráficoGT COVIAL_CIV retira derrumbe ocurrido desvío Santa Catarina Ixtahuacán Nahuala Km 155.3. https //t.co/ThFLqQu53r,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,7,0,PublinewsGT,0.0,TráficoGT,COVIAL_CIV,Guatemala,,,,,125292,174,0,0,0,0
1.432102122162688e+18,Sun Aug 29 22:05:27 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Actualización de reporte de Caída de Rayos en Guatemala

Domingo 29 de agosto
16hrs

#ClimaGt #TráficoGt #TránsitoGt https://t.co/zd6vER6AoP",Actualización reporte Caída Rayos Guatemala Domingo 29 agosto 16hrs ClimaGt TráficoGt TránsitoGt https //t.co/zd6vER6AoP,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,2,1,AlertaGt502,0.0,"ClimaGt,TráficoGt,TránsitoGt",,Guatemala,,1.432080977732542e+18,796436880.0,AlertaGt502,14373,2724,0,0,0,0
1.432101194319729e+18,Sun Aug 29 22:01:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Noti_Atlantico: 🔴#ALCIERRE | Usuario capta enfrentamiento entre #PMT y personas, en Pradera #Zona10, mientras los tres hombres intentan…",RT Noti_Atlantico 🔴 ALCIERRE Usuario capta enfrentamiento PMT personas Pradera Zona10 mientras tres hombres intentan…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,34,Elizabe58765075,,"ALCIERRE,PMT,Zona10",Noti_Atlantico,,,,,,17,736,0,0,0,1
1.432097980610449e+18,Sun Aug 29 21:49:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ACTUALIZACIÓN |

LÍNEA 13
Procede con normalidad luego de complicaciones por lluvia.

#TransmetroGT 
#JuntosLogramosMás
#TráficoGT",ACTUALIZACIÓN LÍNEA 13 Procede normalidad luego complicaciones lluvia TransmetroGT JuntosLogramosMás TráficoGT,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,1,0,TransmetroGuate,,"TransmetroGT,JuntosLogramosMás,TráficoGT",,Guatemala,,1.431963606330061e+18,234804655.0,TransmetroGuate,17952,9,0,0,0,0
1.432092597514867e+18,Sun Aug 29 21:27:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ya colapso la ciudad del futuro nuevamente, así se ve en las nuevas imágenes y videos, bashancos no decepciona.

#TraficoGT",Ya colapso ciudad futuro nuevamente así ve nuevas imágenes videos bashancos decepciona TraficoGT,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,0,JCQQ1,,TraficoGT,,Guatemala,,,,,541,2409,0,0,0,0
1.432086831282237e+18,Sun Aug 29 21:04:42 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#TráficoGT 
Ruta alterna habilitada por trabajos de adoquinamiento que se realizan en 10a. avenida y 1a. calle de la zona 1 de Mixco

Vía: @EmixtraPablo https://t.co/PPFDy7xao1",TráficoGT Ruta alterna habilitada trabajos adoquinamiento realizan 10a avenida 1a calle zona 1 Mixco Vía EmixtraPablo https //t.co/PPFDy7xao1,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,1,0,PublinewsGT,0.0,TráficoGT,EmixtraPablo,Guatemala,,,,,125292,174,0,0,0,0
1.432084971443864e+18,Sun Aug 29 20:57:18 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AlertaGt502: Reporte de Caída de Rayos en Guatemala 🇬🇹

Domingo 29/08
14:30hrs

Efectos de la Onda Tropical 25 de salida y acercamiento…",RT AlertaGt502 Reporte Caída Rayos Guatemala 🇬🇹 Domingo 29/08 14:30hrs Efectos Onda Tropical 25 salida acercamiento…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,1,leochupina,,,AlertaGt502,Guatemala,,,,,135,599,0,0,0,1
